CodigoHistorial,Username_Paciente,Nombre_Paciente,FechaNacimiento,Cedula,FechaCreacion
HIS-9419819,cguzman,Cristian Guzmán Figueroa,1998-07-10,1140010941,2024-07-17
HIS-5587222,daguilar,David Aguilar Shiguango,1972-08-08,1515925558,2022-10-16
HIS-2787016,aguzman,Andrea Guzmán Aguilar,1970-04-19,0815953278,2023-12-24
HIS-4537367,dfigueroa,Daniela Figueroa Shiguango,1973-02-13,1040162453,2024-10-29
HIS-9899388,asanchez,Andres Sanchez Medina,1993-09-05,1228523989,2023-11-03
HIS-9408516,mguzman,Manuel Guzmán Vargas,1985-05-21,1928887940,2023-04-12
HIS-3070276,iguzman,Ivan Guzmán Ruiz,2002-12-02,0553091307,2022-10-10
HIS-8560050,cshiguango,Claudia Shiguango Cerda,2000-04-23,1322785856,2024-09-28
HIS-2407227,njimenez,Natalia Jimenez Mendez,1972-09-23,0448665240,2023-07-11
HIS-5747521,pmartinez,Pablo Martinez Cerda,1975-05-21,0853016574,2022-05-02
HIS-0038452,hgomez,Hugo Gomez Aguilar,1984-05-07,0606724003,2022-08-19
HIS-2997559,eherrera,Elena Herrera Gomez,1975-04-01,0155493299,2023-06-19
HIS-3039471,ajimenez,Adriana Jimenez Romero,1994-04-08,1049045303,2022-10-01
HIS-3946731,mfigueroa,Marcela Figueroa Chávez,1967-10-18,1458783394,2022-11-03
HIS-2855515,ccruz,Carla Cruz Espinoza,1955-12-07,1608707285,2022-05-30
HIS-2286277,lgonzalez,Lorena Gonzalez Alvarado,1962-03-18,0207046228,2024-03-15
HIS-3317086,pgarcia,Patricio Garcia Rodriguez,1970-04-03,1038686331,2022-07-26
HIS-3086462,rmartinez,Rosa Martinez Reyes,1964-11-17,2406738308,2023-03-29
HIS-5627069,abenitez,Ana Benítez Espinoza,1970-04-10,2416870562,2022-10-23
HIS-1785971,fbenitez,Fernanda Benítez Cerda,1959-04-26,0533435178,2023-03-21
HIS-3688770,vgarcia,Valeria Garcia Cruz,1987-08-15,0751739368,2022-07-21
HIS-8988642,rcastillo,Ricardo Castillo Aguilar,1986-09-21,0243204898,2023-11-23
HIS-0836817,vrivera,Verónica Rivera Ortega,1968-09-15,0618728083,2024-02-04
HIS-8428844,mgarcia,Maria Garcia Alvarado,1988-05-27,1830084842,2023-12-27
HIS-1619677,rmedina,Ricardo Medina Ramos,1996-06-19,1913410161,2022-07-15
HIS-0217096,rcaceres,Roberto Cáceres Shiguango,1970-10-27,0901489021,2024-03-07
HIS-3167920,atorres1,Andrea Torres Perez,1979-07-06,1755016316,2024-02-18
HIS-5158262,fgonzalez,Fabian Gonzalez Perez,1982-08-18,0916265515,2024-11-15
HIS-4667228,jortega,Jorge Ortega Benítez,1972-05-09,0349560466,2024-10-06
HIS-7947965,ajimenez1,Antonio Jimenez Aguilar,1979-06-15,1031543794,2023-11-17
HIS-7948969,cfigueroa,Camila Figueroa Diaz,1989-03-22,1622654794,2022-02-25
HIS-4249956,bmendez,Beatriz Mendez Gonzalez,1999-07-18,1457243424,2022-03-17
HIS-5646969,mreyes,Miguel Reyes Ortega,1969-08-12,0659096564,2024-03-12
HIS-5467524,rrodriguez,Ricardo Rodriguez Shiguango,1975-02-10,0426112546,2022-04-02
HIS-5846759,esanchez,Elena Sanchez Rivera,1967-08-19,2418282584,2024-05-29
HIS-3736289,rjimenez1,Roberto Jimenez Gonzalez,1962-06-12,1908255373,2024-07-26
HIS-4108281,tguzman,Teresa Guzmán Espinoza,1982-03-16,0352513410,2022-12-21
HIS-7266538,vtorres,Valeria Torres Gomez,1965-02-19,1139050726,2022-03-05
HIS-8168248,fmorales,Fernando Morales Alvarado,1982-02-24,1017978816,2023-05-22
HIS-9628947,mortega,Monica Ortega Perez,1989-03-11,1503395962,2023-08-23
HIS-5368098,aaguilar,Andres Aguilar Martinez,1980-09-24,0952232536,2023-07-24
HIS-8646353,dcastillo,Daniela Castillo Espinoza,1963-10-28,0151751864,2024-09-20
HIS-3228064,mramos,Miguel Ramos Rodriguez,1980-11-10,0417706322,2023-04-25
HIS-0076127,ccruz1,Carlos Cruz Shiguango,1961-06-12,0319387007,2023-09-05
HIS-5360150,rflores1,Rodrigo Flores Gonzalez,2001-07-12,1740927536,2024-05-29
HIS-4308677,fperez,Fernando Perez Reyes,1986-11-20,1849940430,2022-05-26
HIS-7199564,tcastillo,Teresa Castillo Torres,1995-12-17,1346582719,2024-04-30
HIS-8386088,ralvarado1,Rodrigo Alvarado Alvarado,1960-07-04,2014141838,2024-07-17
HIS-5877283,cgomez,Claudia Gomez Ramirez,1972-09-03,0152027587,2023-06-23
HIS-4147814,vgrefa,Verónica Grefa Chávez,1978-07-05,0239252414,2023-01-02
HIS-1847511,greyes,Gabriel Reyes Aguilar,1975-02-18,2424195184,2024-07-24
HIS-7397649,ecaceres,Eduardo Cáceres Vargas,1976-01-25,2443759739,2024-02-10
HIS-3819294,ireyes,Ivan Reyes Aguilar,1992-10-02,1602410381,2024-06-09
HIS-3188136,eherrera1,Eduardo Herrera Castillo,1981-02-18,1355574318,2024-01-04
HIS-5278022,vherrera1,Verónica Herrera Ramirez,1980-08-18,0314903527,2023-05-27
HIS-5196231,dtorres,Daniel Torres Ramirez,1962-01-15,0103236519,2022-04-14
HIS-4469045,drodriguez,Daniela Rodriguez Ruiz,1990-08-02,2232532446,2022-06-29
HIS-7829317,adiaz,Antonio Diaz Cerda,1993-04-01,0858065782,2023-07-30
HIS-0385682,aespinoza1,Adriana Espinoza Morales,1956-12-23,0603348038,2023-12-22
HIS-3960017,ptapuy,Patricio Tapuy Alvarado,2000-03-26,1017010396,2023-10-25
HIS-1580558,oflores,Oscar Flores Ramirez,2005-06-08,1721569158,2022-12-26
HIS-9567595,dgomez,Diana Gomez Garcia,1975-03-21,2346902956,2022-07-01
HIS-0036130,mherrera,Maria Herrera Cruz,1961-08-26,0851541003,2023-04-07
HIS-2629630,dlopez,Daniel Lopez Mendez,1996-03-20,0124115262,2024-06-08
HIS-4368235,gcruz,Gabriel Cruz Diaz,1982-02-10,1458844436,2024-09-10
HIS-7468344,rrivera,Roberto Rivera Mendez,1983-08-09,0331467746,2023-04-09
HIS-8060083,nsanchez,Nicolas Sanchez Perez,2000-01-17,2228693806,2024-11-24
HIS-1689076,ncastro,Nicolas Castro Gomez,1990-06-28,0613206168,2023-07-20
HIS-9977914,dguzman,Daniel Guzmán Espinoza,1979-11-16,1731622997,2024-08-26
HIS-3096951,aflores1,Andrea Flores Guzmán,1969-03-10,2056065309,2024-06-26
HIS-0846741,rperez,Rosa Perez Diaz,1967-04-27,1516785084,2022-04-29
HIS-0396546,achavez1,Ana Chávez Diaz,1965-05-24,0927861039,2022-07-05
HIS-8070064,arivera1,Ana Rivera Cáceres,2000-12-21,0713346807,2023-07-18
HIS-1067645,vherrera2,Verónica Herrera Cruz,1976-05-21,1528969106,2023-10-28
HIS-0760191,iflores,Isabel Flores Cerda,2001-12-08,0809652076,2024-12-30
HIS-2407869,pvargas,Paola Vargas Rivera,1978-05-19,2242417240,2023-08-26
HIS-6806420,aespinoza2,Ana Espinoza Espinoza,1964-06-28,2007381680,2023-01-05
HIS-2997935,egomez,Elena Gomez Castillo,1979-01-02,2100743299,2024-12-29
HIS-4258453,vcastillo,Victor Castillo Cerda,1984-12-17,0700335425,2024-12-09
HIS-2389393,gtapuy,Gabriel Tapuy Ortega,1993-01-22,0716033238,2022-08-10
HIS-2326146,framirez,Fabian Ramirez Aguilar,1961-09-24,1531847232,2022-08-30
HIS-4299121,adiaz1,Alejandro Diaz Figueroa,1991-11-16,0728356429,2022-11-02
HIS-0176352,ssanchez,Sebastian Sanchez Herrera,1963-11-21,2117447017,2022-12-16
HIS-7449233,rjimenez2,Rosa Jimenez Perez,1992-08-26,1222166744,2024-06-16
HIS-1466171,rrodriguez1,Rosa Rodriguez Torres,1961-07-22,1631670146,2023-05-25
HIS-2138066,dbenitez,Diana Benítez Guzmán,1980-04-03,0202877213,2024-07-29
HIS-6007638,rtapuy,Raul Tapuy Castro,1976-06-27,1107016600,2022-04-22
HIS-3056323,nguzman,Natalia Guzmán Figueroa,1963-12-24,1655711305,2024-04-18
HIS-0909075,rramirez,Roberto Ramirez Medina,1990-07-27,0733516090,2024-09-16
HIS-6659348,storres,Sebastian Torres Sanchez,1993-12-24,1359958665,2024-11-15
HIS-2867376,lbenitez,Lorena Benítez Cruz,1973-07-26,0719452286,2022-01-27
HIS-4256940,mflores,Manuel Flores Martinez,1969-12-21,2203424425,2024-03-07
HIS-4378333,lmartinez1,Lorena Martinez Ruiz,1983-03-22,1335800437,2022-06-02
HIS-4008619,mlopez,Manuel Lopez Vega,1986-10-18,0944229400,2024-01-04
HIS-1539095,dcerda,Diego Cerda Gonzalez,1990-11-01,1716886153,2022-08-23
HIS-4899620,pguzman,Patricia Guzmán Guzmán,1996-04-11,0805616489,2024-11-18
HIS-1385881,nalvarado1,Nicolas Alvarado Alvarado,1958-03-26,0151336138,2023-05-31
HIS-6177346,hherrera,Hugo Herrera Aguilar,1973-11-10,1336650617,2022-06-27
HIS-4289349,arodriguez1,Andrea Rodriguez Shiguango,1993-07-18,0643268428,2022-06-24
HIS-3136752,iaguilar,Isabel Aguilar Grefa,1967-12-19,0512394313,2024-09-24
HIS-7555592,creyes,Cristian Reyes Sanchez,1955-06-08,1041357755,2023-03-30
HIS-5480112,cchavez,Carmen Chávez Torres,2001-11-03,2255777548,2022-06-04
HIS-8838774,pespinoza,Patricio Espinoza Espinoza,1987-02-13,1343084883,2024-01-16
HIS-9245756,rguzman,Raul Guzmán Rivera,1957-11-07,1717229924,2024-11-26
HIS-4916954,tramos,Teresa Ramos Lopez,1969-09-13,0255184491,2023-12-24
HIS-8470171,sfigueroa,Silvia Figueroa Garcia,2001-02-16,1717231847,2024-09-07
HIS-2899520,raguilar,Rodrigo Aguilar Rodriguez,1995-01-24,0802992289,2023-08-04
HIS-2957935,rshiguango,Rosa Shiguango Shiguango,1979-03-04,0616929295,2022-02-03
HIS-8847864,cflores,Carmen Flores Figueroa,1978-01-23,0417990884,2024-12-21
HIS-4789110,bruiz,Beatriz Ruiz Ortega,1991-09-04,1959162478,2024-11-30
HIS-4836642,fcastillo,Fabian Castillo Aguilar,1966-06-18,1202694483,2024-09-17
HIS-3828518,amedina,Adriana Medina Torres,1985-10-14,2203721382,2022-06-30
HIS-4990599,rperez1,Ricardo Perez Figueroa,2005-10-17,0256698499,2024-11-22
HIS-6510154,clopez,Cristian Lopez Chávez,2001-09-19,0850214651,2023-12-14
HIS-8147182,mdiaz,Mario Diaz Ramos,1971-12-15,1340426814,2024-02-12
HIS-4147096,nromero,Nicolas Romero Ramos,1970-05-03,2239071414,2024-03-28
HIS-3756496,sgomez,Sergio Gomez Shiguango,1964-02-04,1123942375,2022-06-10
HIS-4738960,nalvarado2,Nicolas Alvarado Lopez,1989-01-17,1629579473,2023-12-13
HIS-9199473,ccerda,Carla Cerda Ramos,1994-06-12,1150036919,2023-01-12
HIS-9325527,achavez2,Antonio Chávez Chávez,1955-03-14,1327292932,2024-10-20
HIS-2049062,btapuy,Beatriz Tapuy Vargas,1990-05-12,0949061204,2022-02-10
HIS-5828119,lfigueroa,Lucia Figueroa Diaz,1981-11-20,1948245582,2024-04-08
HIS-4736822,gmorales,Gabriel Morales Castillo,1968-03-13,1154496473,2022-07-30
HIS-2175651,nmartinez,Natalia Martinez Rodriguez,1956-01-22,1341149217,2024-01-01
HIS-9708343,lalvarado,Lucia Alvarado Jimenez,1983-05-12,1832829970,2024-04-24
HIS-7728141,mgarcia1,Maria Garcia Cerda,1981-09-14,0524780772,2024-03-19
HIS-4409434,cruiz,Carmen Ruiz Morales,1994-08-09,0906389440,2024-10-04
HIS-7037852,amartinez,Andres Martinez Alvarado,1978-08-23,0111442703,2022-03-06
HIS-6019797,ljimenez,Luis Jimenez Medina,1997-04-16,0347234601,2024-03-07
HIS-5078084,slopez,Sofia Lopez Benítez,1980-04-01,1704743507,2022-03-28
HIS-0525627,rperez2,Ricardo Perez Reyes,1956-12-13,0631950052,2024-01-04
HIS-8557368,acastro,Alejandro Castro Benítez,1973-05-18,1047392855,2024-01-22
HIS-8696115,mgomez,Marcela Gomez Rodriguez,1961-09-22,2029351869,2022-05-17
HIS-6756056,rlopez,Raul Lopez Diaz,1960-08-26,0433109675,2022-05-05
HIS-3859523,bmartinez,Beatriz Martinez Guzmán,1995-03-18,0940141385,2024-04-30
HIS-2839358,lvega,Lorena Vega Sanchez,1993-04-19,0618685283,2023-03-15
HIS-8299022,vcastro,Verónica Castro Medina,1990-10-19,0150490829,2022-11-13
HIS-4156114,gflores,Gabriela Flores Torres,1961-10-21,0929334415,2023-09-08
HIS-0679996,nmartinez1,Nicolas Martinez Romero,1999-04-05,1236139067,2022-04-14
HIS-2228727,afigueroa,Adriana Figueroa Cáceres,1987-07-25,1703646222,2022-09-25
HIS-1417549,amedina1,Alejandro Medina Cáceres,1975-06-20,0749833141,2022-02-19
HIS-2158336,rcastro,Rosa Castro Guzmán,1983-08-01,0530335215,2023-11-11
HIS-6908459,ralvarado2,Roberto Alvarado Cerda,1984-11-01,0947920690,2022-05-17
HIS-1508860,lsanchez,Lucia Sanchez Rodriguez,1988-05-11,1056368150,2024-09-30
HIS-4609863,rortega,Ricardo Ortega Ortega,1998-10-28,2123840460,2023-04-11
HIS-9865933,avargas,Antonio Vargas Figueroa,1959-09-18,1138232986,2022-08-31
HIS-3169355,srodriguez,Sebastian Rodriguez Castillo,1993-04-08,1434742316,2022-02-23
HIS-7200366,dgrefa,Diana Grefa Figueroa,2003-04-03,1655267720,2022-12-29
HIS-6978076,lramos,Lucia Ramos Reyes,1980-12-02,1430965697,2024-03-04
HIS-9006367,ecastro1,Eduardo Castro Medina,1963-07-14,1027264900,2023-10-25
HIS-1117952,despinoza,David Espinoza Diaz,1979-01-25,1504521111,2022-12-16
HIS-4228940,rflores2,Raul Flores Gomez,1989-01-20,2306447422,2024-10-07
HIS-4979752,vaguilar,Verónica Aguilar Castro,1997-10-27,0349038497,2023-09-04
HIS-8209027,maguilar,Miguel Aguilar Gomez,1990-02-10,0654999820,2024-08-22
HIS-9899476,ccerda1,Camila Cerda Aguilar,1994-06-05,1713901989,2024-10-13
HIS-0745542,bgomez,Beatriz Gomez Guzmán,1955-11-07,0854301074,2023-07-31
HIS-9996469,vgrefa1,Valeria Grefa Benítez,1964-11-15,1101556999,2023-11-18
HIS-3969186,pcerda,Patricio Cerda Vargas,1991-10-13,1955880396,2023-01-19
HIS-7405634,lcastillo,Lorena Castillo Lopez,1956-08-17,0931735740,2022-11-12
HIS-0746112,mcerda,Marcela Cerda Vargas,1961-09-25,1111823074,2023-10-02
HIS-4287728,gdiaz,Gabriel Diaz Diaz,1977-09-11,1028571428,2023-07-10
HIS-0709588,dgonzalez,Diego Gonzalez Vargas,1995-12-23,2028702070,2024-07-02
HIS-1766651,cdiaz,Camila Diaz Alvarado,1966-12-22,0339217176,2023-11-08
HIS-5968940,mgonzalez,Maria Gonzalez Shiguango,1989-08-13,0427724596,2024-04-26
HIS-5869032,aruiz,Alejandro Ruiz Gonzalez,1990-02-27,1119669586,2024-06-30
HIS-1358348,lfigueroa1,Laura Figueroa Sanchez,1983-04-07,2246570135,2023-10-11
HIS-4099958,lortega,Lorena Ortega Perez,1999-10-13,1909862409,2023-10-14
HIS-6549727,falvarado,Fernanda Alvarado Cruz,1997-07-05,2217238654,2022-06-23
HIS-7677214,sfigueroa1,Silvia Figueroa Vega,1972-07-18,2017868767,2024-01-22
HIS-7887670,lchavez,Lorena Chávez Ramirez,1976-09-25,1931284788,2022-01-23
HIS-4927374,sromero,Sandra Romero Aguilar,1973-08-03,1224209492,2022-09-17
HIS-2927673,mtorres1,Monica Torres Guzmán,1976-02-05,0924019292,2022-11-12
HIS-0207111,pcastro1,Patricia Castro Rivera,1971-03-17,0745041020,2024-06-09
HIS-9410496,acastillo,Andrea Castillo Cerda,2004-04-17,2201856941,2023-11-23
HIS-7519725,ngarcia,Natalia Garcia Garcia,1997-04-20,0306181751,2022-09-07
HIS-1707632,mcaceres,Manuel Cáceres Gomez,1976-01-09,0452447170,2023-06-27
HIS-6330429,adiaz2,Alejandro Diaz Guzmán,2004-08-01,1317128633,2024-10-16
HIS-8749197,cruiz1,Cristian Ruiz Jimenez,1991-09-12,0555690874,2023-11-14
HIS-2810234,aperez,Ana Perez Chávez,2002-04-05,1821743281,2022-03-15
HIS-0076419,aruiz1,Alejandro Ruiz Gonzalez,1964-12-19,1854787007,2023-04-23
HIS-0479464,arodriguez2,Alejandro Rodriguez Shiguango,1994-04-03,2003202047,2023-02-20
HIS-2557022,cramirez,Camila Ramirez Cáceres,1970-10-02,1815309255,2022-10-01
HIS-6779973,ctapuy,Carlos Tapuy Perez,1999-01-20,0102194677,2023-01-04
HIS-9538616,gaguilar,Gabriela Aguilar Garcia,1986-03-06,1813181953,2022-03-30
HIS-8297539,ivega,Isabel Vega Herrera,1975-07-07,1147010829,2023-10-30
HIS-7996390,psanchez,Patricia Sanchez Reyes,1963-08-24,2433631799,2023-02-02
HIS-1749121,iromero,Isabel Romero Torres,1991-09-28,0259042174,2023-04-16
HIS-3560177,lcruz,Lucia Cruz Espinoza,2001-09-02,1634063356,2024-05-21
HIS-3220269,bsanchez,Beatriz Sanchez Castro,2002-10-01,1611806322,2024-07-20
HIS-8050216,schavez,Sofia Chávez Ramos,2002-01-17,2350165805,2024-01-16
HIS-8317745,gramos,Gabriela Ramos Guzmán,1977-05-17,0225281831,2024-05-16
HIS-8445924,rortega1,Ricardo Ortega Castro,1959-02-06,1648178844,2023-07-20
HIS-7588172,dcruz,Diana Cruz Cerda,1981-10-11,2104682758,2023-10-31
HIS-5406630,vvargas,Verónica Vargas Cáceres,1966-03-27,0522437540,2022-11-11
HIS-8085668,lcastillo1,Luis Castillo Cáceres,1956-07-16,0534523808,2022-10-25
HIS-2938067,calvarado,Carlos Alvarado Grefa,1980-10-27,1154749293,2023-03-28
HIS-3038760,gmartinez,Gabriel Martinez Figueroa,1987-01-22,2119834303,2024-01-10
HIS-8109348,gruiz,Gabriela Ruiz Chávez,1993-02-05,0125547810,2023-03-02
HIS-8709238,lespinoza1,Laura Espinoza Ruiz,1992-05-16,0306462870,2024-08-07
HIS-2719190,aherrera,Andres Herrera Vargas,1991-07-28,2157146271,2023-06-13
HIS-5707375,rgrefa,Ricardo Grefa Cáceres,1973-09-21,0122902570,2022-06-07
HIS-5117629,nsanchez1,Nicolas Sanchez Figueroa,1976-03-04,0645544511,2023-03-23
HIS-6799332,pdiaz1,Patricio Diaz Benítez,1993-09-25,2058881679,2023-12-02
HIS-3215770,sramirez,Sebastian Ramirez Morales,1957-11-17,0552342321,2022-05-02
HIS-9318774,agonzalez,Ana Gonzalez Vargas,1987-12-20,2201193931,2023-05-11
HIS-0178262,pespinoza1,Patricio Espinoza Garcia,1982-04-17,1713428017,2023-04-12
HIS-0189034,cramos,Carla Ramos Ramirez,1990-07-10,1717548018,2024-05-26
HIS-8187625,cchavez1,Claudia Chávez Gomez,1976-04-20,0157167818,2024-04-07
HIS-7958613,mtapuy,Marcela Tapuy Jimenez,1986-04-21,2349465795,2022-10-03
HIS-2498779,pgonzalez,Patricio Gonzalez Tapuy,1987-05-18,2202695249,2023-12-05
HIS-7048694,nlopez,Nicolas Lopez Vega,1986-02-19,0437567704,2024-10-01
HIS-6960258,dbenitez1,Daniela Benítez Rivera,2002-10-01,1706479696,2023-11-30
HIS-9159763,gortega,Gabriela Ortega Aguilar,1997-07-19,1203334915,2024-11-20
HIS-9127891,fshiguango1,Fabian Shiguango Espinoza,1978-07-07,0126965912,2024-10-14
HIS-9160574,eherrera2,Eduardo Herrera Martinez,2005-02-21,1046391916,2023-09-11
HIS-7839476,calvarado1,Claudia Alvarado Castillo,1994-07-19,0736498783,2022-05-03
HIS-1336449,vflores,Verónica Flores Reyes,1964-04-01,0554665133,2023-05-18
HIS-0425960,nvega1,Natalia Vega Vega,1959-07-12,2103242042,2022-07-04
HIS-1366166,mcaceres1,Miguel Cáceres Grefa,1961-03-07,0449847136,2023-07-17
HIS-6740298,lespinoza2,Lucia Espinoza Martinez,2002-11-26,1645158674,2022-04-22
HIS-7639514,nruiz,Natalia Ruiz Vargas,1995-06-26,2155183763,2024-04-12
HIS-4829510,ptapuy1,Patricio Tapuy Shiguango,1995-08-26,2435612482,2022-10-06
HIS-2936733,rvargas,Rodrigo Vargas Castillo,1967-02-14,1901238293,2024-01-23
HIS-7347811,ccaceres,Carmen Cáceres Morales,1978-03-19,0108931734,2022-08-29
HIS-7630543,aramos,Adriana Ramos Tapuy,2005-03-01,0413344763,2023-08-18
HIS-2515855,treyes,Teresa Reyes Chávez,1958-06-08,1957107251,2024-08-22
HIS-0960043,fgrefa,Fernando Grefa Guzmán,2000-09-14,1326528096,2022-10-18
HIS-9436733,atorres2,Ana Torres Tapuy,1967-03-02,0955644943,2023-04-16
HIS-8766582,mrivera,Monica Rivera Ramos,1965-12-17,1407075876,2023-07-13
